Age,Income,CreditScore,EmploymentStatus,Approved
59,41966,679,Salaried,1
49,53280,546,Self-employed,0
35,72036,603,Salaried,1
63,131938,850,Salaried,1
28,77597,704,Salaried,1
41,70942,612,Self-employed,1
59,34795,698,Salaried,1
39,65299,679,Self-employed,0
43,48011,557,Self-employed,0
31,54904,609,Unemployed,0
31,88598,897,Self-employed,1
44,72965,693,Salaried,1
56,135984,477,Self-employed,1
60,117340,706,Unemployed,1
44,66733,793,Salaried,1
23,57495,550,Salaried,0
42,126479,599,Salaried,1
22,134801,809,Unemployed,1
44,20000,653,Salaried,1
64,87785,634,Salaried,1
50,77443,503,Self-employed,1
58,104473,767,Unemployed,1
22,143280,629,Salaried,1
41,70478,411,Self-employed,0
53,23179,477,Unemployed,0
32,102370,588,Salaried,0
42,126698,531,Self-employed,1
64,75887,549,Self-employed,1
45,63848,900,Unemployed,1
47,71882,727,Self-employed,1
62,110506,366,Unemployed,0
48,71366,615,Salaried,0
36,94862,640,Salaried,1
35,85834,487,Salaried,0
64,82738,708,Salaried,1
23,106038,425,Unemployed,1
57,70642,770,Salaried,1
27,72082,808,Salaried,1
41,108928,900,Salaried,1
29,55392,476,Salaried,0
59,58593,499,Salaried,0
38,47190,726,Salaried,1
24,110470,780,Unemployed,1
45,81842,738,Salaried,1
34,45591,768,Self-employed,1
29,110614,801,Self-employed,1
46,68333,672,Self-employed,1
22,58849,626,Salaried,0
40,79129,499,Unemployed,0
48,129361,617,Self-employed,1
27,73151,634,Salaried,1
64,102260,545,Salaried,1
28,106812,645,Salaried,1
55,98298,533,Self-employed,0
34,123132,772,Self-employed,1
37,63786,696,Salaried,1
56,53699,599,Salaried,1
60,53111,670,Unemployed,0
24,80665,528,Unemployed,0
22,56588,539,Self-employed,1
26,89426,580,Self-employed,1
62,87309,628,Unemployed,1
24,115557,665,Self-employed,1
49,93734,665,Salaried,1
38,72515,504,Salaried,1
46,97325,641,Self-employed,0
64,54094,560,Salaried,0
54,83855,300,Salaried,0
30,94582,900,Unemployed,1
56,88879,562,Self-employed,1
34,97451,568,Unemployed,0
51,65678,501,Salaried,0
35,119560,533,Unemployed,1
28,139665,629,Salaried,0
34,36919,798,Self-employed,1
43,48532,628,Salaried,0
60,86292,614,Salaried,0
41,77303,782,Salaried,1
36,141892,592,Self-employed,1
38,91593,652,Salaried,1
44,126776,548,Self-employed,1
46,23526,835,Salaried,0
45,109425,765,Salaried,1
61,63534,633,Self-employed,1
49,63053,606,Unemployed,0
35,77549,646,Salaried,1
21,42262,634,Self-employed,1
45,98283,479,Unemployed,0
27,90721,769,Self-employed,1
29,92985,625,Self-employed,0
44,111610,858,Salaried,1
21,130443,696,Salaried,1
64,74088,372,Salaried,0
28,99320,509,Salaried,1
44,93789,413,Unemployed,0
31,96328,507,Salaried,0
37,96777,470,Salaried,0
28,132715,677,Unemployed,1
55,71209,615,Self-employed,0
55,39227,731,Unemployed,0
53,64063,645,Self-employed,1
25,107718,623,Salaried,1
62,85699,870,Self-employed,1
59,70972,674,Self-employed,1
61,52705,641,Salaried,0
48,91638,556,Salaried,1
27,104335,520,Salaried,1
29,94176,734,Self-employed,1
28,77400,728,Salaried,1
32,89399,822,Self-employed,1
54,89225,702,Salaried,0
53,90690,606,Salaried,1
43,49470,706,Salaried,1
44,90919,641,Salaried,0
57,71782,745,Salaried,1
55,116218,796,Salaried,1
64,88987,631,Salaried,1
60,110064,843,Unemployed,1
42,75946,780,Self-employed,1
47,77028,651,Self-employed,1
55,129827,723,Unemployed,1
21,98090,683,Unemployed,1
55,63564,652,Unemployed,1
57,111909,860,Salaried,1
34,69000,706,Self-employed,1
23,91770,557,Unemployed,0
21,140100,536,Unemployed,1
25,42061,541,Self-employed,0
46,79726,703,Salaried,1
34,97248,612,Unemployed,1
59,107940,686,Salaried,1
47,47762,753,Salaried,0
29,38926,873,Salaried,1
35,117722,614,Salaried,1
35,63387,495,Salaried,0
46,62131,847,Salaried,1
62,131507,489,Unemployed,1
33,87091,485,Salaried,1
52,87287,844,Self-employed,1
59,79606,767,Unemployed,1
52,48280,703,Self-employed,1
24,105270,644,Salaried,1
50,97283,623,Self-employed,1
57,90060,578,Salaried,1
43,81510,618,Salaried,0
59,76230,644,Self-employed,0
35,112374,498,Unemployed,1
63,80761,559,Self-employed,1
49,83078,417,Salaried,0
56,100896,658,Salaried,0
33,91238,658,Salaried,1
52,134268,845,Self-employed,1
27,32158,691,Salaried,1
42,93997,588,Unemployed,0
48,63831,627,Salaried,0
22,56737,703,Salaried,1
62,71288,675,Salaried,1
26,86640,713,Salaried,1
48,87972,691,Self-employed,1
48,39480,622,Unemployed,0
64,68767,591,Salaried,1
64,93436,585,Salaried,1
40,58692,548,Unemployed,0
50,51556,530,Self-employed,0
31,20000,852,Unemployed,1
48,65104,663,Salaried,1
45,50511,632,Salaried,1
59,55482,595,Salaried,0
53,76845,697,Salaried,1
21,67005,782,Self-employed,1
47,50012,729,Salaried,0
33,21524,751,Self-employed,0
61,94069,585,Salaried,0
23,107584,649,Unemployed,1
59,73097,586,Salaried,1
26,77026,661,Salaried,0
28,85084,789,Self-employed,1
47,132363,698,Salaried,1
29,37968,828,Salaried,1
57,72565,618,Salaried,1
53,33340,561,Unemployed,0
62,95869,706,Self-employed,1
64,80681,663,Self-employed,0
44,91089,685,Unemployed,1
35,89593,669,Unemployed,1
52,114721,596,Self-employed,0
52,101143,671,Self-employed,1
44,109915,757,Self-employed,1
61,53033,768,Salaried,1
32,120795,596,Unemployed,0
59,63329,675,Self-employed,0
22,65053,812,Salaried,1
23,93125,598,Salaried,1
57,94057,578,Salaried,0
37,52844,737,Salaried,1
22,79801,718,Salaried,1
22,129647,557,Salaried,1
48,40949,496,Salaried,0
43,129556,673,Self-employed,1
57,77749,603,Salaried,0
52,20000,464,Salaried,0
53,43998,574,Salaried,0
21,56095,716,Unemployed,1
39,66282,633,Salaried,0
22,81858,822,Salaried,1
64,20000,420,Self-employed,0
46,90604,797,Salaried,1
52,53347,612,Salaried,0
26,126715,596,Salaried,1
52,76894,479,Self-employed,0
24,113285,701,Self-employed,1
31,118310,449,Self-employed,0
37,117498,739,Salaried,1
58,68007,483,Self-employed,0
44,67623,500,Salaried,0
25,78250,518,Salaried,1
54,104087,571,Salaried,1
26,69679,753,Self-employed,1
42,81422,815,Salaried,1
31,93207,582,Self-employed,0
36,57853,644,Unemployed,0
53,55956,703,Salaried,1
29,80252,613,Salaried,0
26,84225,699,Salaried,1
36,98016,649,Salaried,1
49,105156,622,Salaried,1
23,52028,493,Unemployed,0
40,60637,666,Salaried,1
56,55877,755,Self-employed,0
39,127373,564,Salaried,1
46,81391,433,Unemployed,0
23,85483,614,Unemployed,1
39,86733,816,Self-employed,1
40,63529,783,Unemployed,1
52,131928,586,Salaried,0
27,97330,700,Salaried,1
61,86187,717,Self-employed,0
53,51842,813,Self-employed,1
60,50142,479,Unemployed,0
59,75732,532,Salaried,0
38,64000,428,Salaried,0
60,52976,575,Salaried,0
21,73871,767,Unemployed,1
31,78507,588,Unemployed,0
48,89253,506,Self-employed,0
45,69882,674,Self-employed,1
43,54771,677,Self-employed,1
51,55812,538,Self-employed,0
50,121389,594,Salaried,1
62,47447,666,Self-employed,0
55,95895,732,Salaried,1
27,100586,578,Self-employed,0
36,81361,562,Salaried,1
46,138034,860,Self-employed,1
22,100051,619,Unemployed,1
21,140287,677,Self-employed,1
32,65468,721,Self-employed,1
25,65981,453,Self-employed,1
57,100826,647,Self-employed,0
52,77156,468,Salaried,1
29,135569,635,Self-employed,1
61,95251,801,Salaried,1
55,53662,540,Self-employed,0
39,32895,466,Self-employed,0
36,82652,857,Self-employed,1
23,82326,523,Self-employed,1
40,94412,485,Self-employed,1
44,121320,828,Unemployed,1
53,117373,519,Salaried,1
44,67632,830,Unemployed,1
31,46185,680,Self-employed,1
28,47976,791,Salaried,1
56,62895,670,Unemployed,1
58,73998,768,Self-employed,1
60,94151,548,Unemployed,0
40,60970,582,Self-employed,0
55,93411,417,Salaried,0
45,95861,756,Salaried,1
55,89300,696,Self-employed,1
45,51141,539,Unemployed,0
49,99034,457,Self-employed,0
38,147438,680,Salaried,1
38,92376,834,Self-employed,1
22,20000,634,Self-employed,1
55,122226,577,Salaried,1
36,63917,546,Salaried,0
61,152971,787,Salaried,1
56,88490,564,Salaried,1
53,34458,609,Salaried,0
24,23059,764,Salaried,1
53,131192,720,Unemployed,1
34,118177,613,Salaried,1
41,151780,573,Salaried,1
40,85327,811,Salaried,1
28,83304,527,Salaried,0
27,73518,626,Self-employed,0
23,65251,484,Salaried,0
37,73227,780,Self-employed,1
53,91523,597,Self-employed,0
32,59682,573,Salaried,0
42,34921,722,Self-employed,0
42,89796,493,Self-employed,0
50,59014,719,Salaried,1
58,20000,610,Self-employed,0
58,101577,517,Unemployed,0
28,51758,541,Self-employed,0
47,104853,574,Salaried,1
47,104135,601,Unemployed,0
54,93507,518,Salaried,1
41,159904,682,Salaried,1
50,80858,515,Salaried,1
53,76430,389,Self-employed,0
48,105510,861,Unemployed,1
53,83336,671,Salaried,1
25,119814,871,Salaried,1
39,46935,535,Self-employed,0
24,47434,702,Unemployed,1
55,107974,748,Salaried,0
37,50055,629,Unemployed,0
64,103272,491,Salaried,1
48,96100,620,Self-employed,1
50,64165,718,Self-employed,1
49,96015,714,Salaried,0
26,47962,649,Self-employed,1
55,55003,748,Unemployed,1
61,77884,743,Salaried,1
57,87367,592,Salaried,1
44,75890,482,Salaried,0
49,97993,670,Salaried,1
51,96653,567,Self-employed,1
55,130881,665,Salaried,1
53,82141,798,Self-employed,1
41,120836,698,Salaried,1
52,112621,792,Unemployed,1
43,153819,538,Salaried,1
53,81182,769,Salaried,1
23,72389,834,Salaried,1
38,122730,657,Unemployed,1
45,96562,900,Salaried,1
62,123449,555,Salaried,1
51,106503,579,Unemployed,1
23,21797,721,Unemployed,0
60,96289,655,Unemployed,1
44,94336,568,Salaried,0
52,88993,718,Salaried,1
42,81032,689,Self-employed,1
43,37235,585,Salaried,0
22,111225,670,Salaried,1
47,96213,733,Salaried,1
62,118058,583,Unemployed,0
22,38837,706,Salaried,1
46,100214,554,Self-employed,0
37,77960,575,Salaried,1
60,89313,772,Self-employed,1
53,78305,717,Self-employed,1
29,101308,442,Salaried,0
63,80113,608,Salaried,0
59,53442,703,Self-employed,1
49,87592,665,Salaried,1
62,78574,718,Self-employed,1
46,82498,662,Self-employed,1
55,20000,635,Self-employed,1
45,105479,632,Salaried,1
44,75560,770,Salaried,1
33,44555,726,Self-employed,1
27,112676,694,Salaried,1
56,104090,659,Unemployed,1
40,75180,589,Unemployed,0
21,50434,616,Salaried,1
28,90340,767,Salaried,1
36,88693,756,Salaried,1
34,112730,578,Unemployed,1
32,71687,660,Salaried,1
43,120847,704,Salaried,1
35,68792,697,Self-employed,1
48,44625,696,Salaried,1
54,51031,527,Salaried,0
22,83127,521,Salaried,0
52,83034,778,Self-employed,1
43,94835,815,Salaried,1
42,82288,487,Self-employed,1
45,114319,646,Unemployed,1
42,77167,739,Self-employed,1
42,25111,407,Self-employed,0
62,81367,531,Salaried,1
26,24796,639,Salaried,0
35,93141,584,Salaried,1
63,116715,673,Self-employed,1
57,55413,811,Salaried,1
53,127556,556,Salaried,1
28,110284,655,Salaried,1
64,121194,612,Salaried,1
